epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,138.757,1.46819,3.05807,0.00558,0.88458,0.93692,0.92953,0.51302,1.22253,1.01965,0.00743,0.0006,0.0006,0.0006
2,284.312,1.38451,0.77068,0.0052,0.39464,0.91573,0.80619,0.33546,1.48018,3.20538,0.01003,0.00120397,0.00120397,0.00120397
3,425.356,1.48625,0.72744,0.00587,0.23319,0.89318,0.72697,0.32796,1.63212,5.22872,0.01085,0.00174193,0.00174193,0.00174193
4,580.184,1.41776,0.72127,0.00563,0.73448,0.91691,0.87785,0.45331,1.45046,1.65508,0.00863,0.001703,0.001703,0.001703
5,735.434,1.39307,0.67575,0.00537,0.88239,0.93952,0.94613,0.52138,1.46658,1.0568,0.00954,0.001604,0.001604,0.001604
6,888.044,1.36297,0.6424,0.00523,0.89239,0.93294,0.94501,0.55019,1.32852,0.90535,0.00835,0.001505,0.001505,0.001505
7,1045.48,1.29391,0.58467,0.00513,0.91655,0.94514,0.95943,0.58567,1.28857,0.81957,0.00842,0.001406,0.001406,0.001406
8,1202.86,1.29197,0.56761,0.00487,0.95471,0.93825,0.96086,0.60699,1.37368,0.70317,0.0087,0.001307,0.001307,0.001307
9,1352.59,1.32712,0.56897,0.00518,0.96169,0.94362,0.96224,0.58977,1.24228,0.66739,0.00761,0.001208,0.001208,0.001208
10,1483.32,1.28787,0.56131,0.00503,0.96681,0.9507,0.97029,0.62645,1.20544,0.55268,0.00729,0.001109,0.001109,0.001109
11,1608.15,1.22343,0.52857,0.00527,0.96755,0.93175,0.97022,0.63582,1.22662,0.52713,0.00756,0.00101,0.00101,0.00101
12,1733.63,1.15419,0.5122,0.00514,0.96163,0.93703,0.96959,0.64761,1.20869,0.51889,0.00738,0.000911,0.000911,0.000911
13,1868,1.14913,0.49489,0.00475,0.96928,0.94955,0.9731,0.65544,1.15663,0.46727,0.00695,0.000812,0.000812,0.000812
14,2011.13,1.1112,0.4783,0.00461,0.97266,0.94994,0.97268,0.64924,1.15598,0.42879,0.00699,0.000713,0.000713,0.000713
15,2152.54,1.11647,0.44557,0.0048,0.97469,0.95134,0.97501,0.66305,1.15601,0.42754,0.00705,0.000614,0.000614,0.000614
16,2301.78,1.10272,0.45721,0.00478,0.97448,0.95165,0.97466,0.66208,1.13779,0.42042,0.00684,0.000515,0.000515,0.000515
17,2450.48,1.10861,0.45897,0.00463,0.97387,0.9512,0.97604,0.6651,1.14709,0.43693,0.00697,0.000416,0.000416,0.000416
18,2593.81,1.09025,0.43055,0.00463,0.97647,0.95015,0.97529,0.67089,1.12473,0.41659,0.00678,0.000317,0.000317,0.000317
19,2733,1.08851,0.41634,0.00456,0.97325,0.95134,0.97463,0.66891,1.13652,0.41239,0.00685,0.000218,0.000218,0.000218
20,2865.75,1.08609,0.41558,0.00455,0.97052,0.95549,0.97464,0.66787,1.11677,0.40803,0.00668,0.000119,0.000119,0.000119
